62.9863 	EXP 	read_number: height = 0.07
62.9863 	EXP 	read_number: height = 0.07
62.9863 	EXP 	read_number: text = '1009'
63.0785 	DATA 	Keypress: space
63.0864 	EXP 	read_number: height = 0.07
63.0864 	EXP 	read_number: height = 0.07
63.0864 	EXP 	read_number: height = 0.07
63.0864 	EXP 	read_number: text = '996'
63.2962 	DATA 	Keypress: space
63.3033 	EXP 	read_number: height = 0.07
63.3033 	EXP 	read_number: height = 0.07
63.3033 	EXP 	read_number: height = 0.07
63.3033 	EXP 	read_number: text = '983'
63.4221 	DATA 	Keypress: space
63.4533 	EXP 	read_number: height = 0.07
63.4533 	EXP 	read_number: height = 0.07
63.4533 	EXP 	read_number: height = 0.07
63.4533 	EXP 	read_number: text = '970'
63.5783 	DATA 	Keypress: space
63.5869 	EXP 	read_number: height = 0.07
63.5869 	EXP 	read_number: height = 0.07
63.5869 	EXP 	read_number: height = 0.07
63.5869 	EXP 	read_number: text = '957'
63.7585 	DATA 	Keypress: space
63.7703 	EXP 	read_number: height = 0.07
63.7703 	EXP 	read_number: height = 0.07
63.7703 	EXP 	read_number: height = 0.07
63.7703 	EXP 	read_number: text = '944'
63.9242 	DATA 	Keypress: space
63.9372 	EXP 	read_number: height = 0.07
63.9372 	EXP 	read_number: height = 0.07
63.9372 	EXP 	read_number: height = 0.07
63.9372 	EXP 	read_number: text = '931'
64.0388 	DATA 	Keypress: space
64.0708 	EXP 	read_number: height = 0.07
64.0708 	EXP 	read_number: height = 0.07
64.0708 	EXP 	read_number: height = 0.07
64.0708 	EXP 	read_number: text = '918'
64.2417 	DATA 	Keypress: space
64.2542 	EXP 	read_number: height = 0.07
64.2542 	EXP 	read_number: height = 0.07
64.2542 	EXP 	read_number: height = 0.07
64.2542 	EXP 	read_number: text = '905'
64.4225 	DATA 	Keypress: space
64.4543 	EXP 	read_number: height = 0.07
64.4543 	EXP 	read_number: height = 0.07
64.4543 	EXP 	read_number: height = 0.07
64.4543 	EXP 	read_number: text = '892'
64.6084 	DATA 	Keypress: space
64.6212 	EXP 	read_number: height = 0.07
64.6212 	EXP 	read_number: height = 0.07
64.6212 	EXP 	read_number: height = 0.07
64.6212 	EXP 	read_number: text = '879'
64.8759 	DATA 	Keypress: space
64.8882 	EXP 	read_number: height = 0.07
64.8882 	EXP 	read_number: height = 0.07
64.8882 	EXP 	read_number: height = 0.07
64.8882 	EXP 	read_number: text = '866'
65.0752 	DATA 	Keypress: space
65.0886 	EXP 	read_number: height = 0.07
65.0886 	EXP 	read_number: height = 0.07
65.0886 	EXP 	read_number: height = 0.07
65.0886 	EXP 	read_number: text = '853'
65.2428 	DATA 	Keypress: space
65.2551 	EXP 	read_number: height = 0.07
65.2551 	EXP 	read_number: height = 0.07
65.2551 	EXP 	read_number: height = 0.07
65.2551 	EXP 	read_number: text = '840'
65.4262 	DATA 	Keypress: space
65.4389 	EXP 	read_number: height = 0.07
65.4389 	EXP 	read_number: height = 0.07
65.4389 	EXP 	read_number: height = 0.07
65.4389 	EXP 	read_number: text = '827'
66.8959 	DATA 	Keypress: space
66.9069 	EXP 	read_number: height = 0.07
66.9069 	EXP 	read_number: height = 0.07
66.9069 	EXP 	read_number: height = 0.07
66.9069 	EXP 	read_number: text = '814'
67.0771 	DATA 	Keypress: space
67.0902 	EXP 	read_number: height = 0.07
67.0902 	EXP 	read_number: height = 0.07
67.0902 	EXP 	read_number: height = 0.07
67.0902 	EXP 	read_number: text = '801'
67.2437 	DATA 	Keypress: space
67.2570 	EXP 	read_number: height = 0.07
67.2570 	EXP 	read_number: height = 0.07
67.2570 	EXP 	read_number: height = 0.07
67.2570 	EXP 	read_number: text = '788'
67.4103 	DATA 	Keypress: space
67.4238 	EXP 	read_number: height = 0.07
67.4238 	EXP 	read_number: height = 0.07
67.4238 	EXP 	read_number: height = 0.07
67.4238 	EXP 	read_number: text = '775'
67.5961 	DATA 	Keypress: space
67.6073 	EXP 	read_number: height = 0.07
67.6073 	EXP 	read_number: height = 0.07
67.6073 	EXP 	read_number: height = 0.07
67.6073 	EXP 	read_number: text = '762'
67.7780 	DATA 	Keypress: space
67.7909 	EXP 	read_number: height = 0.07
67.7909 	EXP 	read_number: height = 0.07
67.7909 	EXP 	read_number: height = 0.07
67.7909 	EXP 	read_number: text = '749'
68.0294 	DATA 	Keypress: space
68.0411 	EXP 	read_number: height = 0.07
68.0411 	EXP 	read_number: height = 0.07
68.0411 	EXP 	read_number: height = 0.07
68.0411 	EXP 	read_number: text = '736'
68.2118 	DATA 	Keypress: space
68.2245 	EXP 	read_number: height = 0.07
68.2245 	EXP 	read_number: height = 0.07
68.2245 	EXP 	read_number: height = 0.07
68.2245 	EXP 	read_number: text = '723'
68.4132 	DATA 	Keypress: space
68.4250 	EXP 	read_number: height = 0.07
68.4250 	EXP 	read_number: height = 0.07
68.4250 	EXP 	read_number: height = 0.07
68.4250 	EXP 	read_number: text = '710'
68.6307 	DATA 	Keypress: space
68.6417 	EXP 	read_number: height = 0.07
68.6417 	EXP 	read_number: height = 0.07
68.6417 	EXP 	read_number: height = 0.07
68.6417 	EXP 	read_number: text = '697'
68.8286 	DATA 	Keypress: space
68.8421 	EXP 	read_number: height = 0.07
68.8421 	EXP 	read_number: height = 0.07
68.8421 	EXP 	read_number: height = 0.07
68.8421 	EXP 	read_number: text = '684'
69.0636 	DATA 	Keypress: space
69.0757 	EXP 	read_number: height = 0.07
69.0757 	EXP 	read_number: height = 0.07
69.0757 	EXP 	read_number: height = 0.07
69.0757 	EXP 	read_number: text = '671'
69.2790 	DATA 	Keypress: space
69.2928 	EXP 	read_number: height = 0.07
69.2928 	EXP 	read_number: height = 0.07
69.2928 	EXP 	read_number: height = 0.07
69.2928 	EXP 	read_number: text = '658'
69.5459 	DATA 	Keypress: space
69.5592 	EXP 	read_number: height = 0.07
69.5592 	EXP 	read_number: height = 0.07
69.5592 	EXP 	read_number: height = 0.07
69.5592 	EXP 	read_number: text = '645'
69.7798 	DATA 	Keypress: space
69.7928 	EXP 	read_number: height = 0.07
69.7928 	EXP 	read_number: height = 0.07
69.7928 	EXP 	read_number: height = 0.07
69.7928 	EXP 	read_number: text = '632'
70.0300 	DATA 	Keypress: space
70.0433 	EXP 	read_number: height = 0.07
70.0433 	EXP 	read_number: height = 0.07
70.0433 	EXP 	read_number: height = 0.07
70.0433 	EXP 	read_number: text = '619'
70.2147 	DATA 	Keypress: space
70.2265 	EXP 	read_number: height = 0.07
70.2265 	EXP 	read_number: height = 0.07
70.2265 	EXP 	read_number: height = 0.07
70.2265 	EXP 	read_number: text = '606'
70.3973 	DATA 	Keypress: space
70.4100 	EXP 	read_number: height = 0.07
70.4100 	EXP 	read_number: height = 0.07
70.4100 	EXP 	read_number: height = 0.07
70.4100 	EXP 	read_number: text = '593'
70.5647 	DATA 	Keypress: space
70.5770 	EXP 	read_number: height = 0.07
70.5770 	EXP 	read_number: height = 0.07
70.5770 	EXP 	read_number: height = 0.07
70.5770 	EXP 	read_number: text = '580'
70.7307 	DATA 	Keypress: space
70.7439 	EXP 	read_number: height = 0.07
70.7439 	EXP 	read_number: height = 0.07
70.7439 	EXP 	read_number: height = 0.07
70.7439 	EXP 	read_number: text = '567'
70.8789 	DATA 	Keypress: space
70.9105 	EXP 	read_number: height = 0.07
70.9105 	EXP 	read_number: height = 0.07
70.9105 	EXP 	read_number: height = 0.07
70.9105 	EXP 	read_number: text = '554'
71.0640 	DATA 	Keypress: space
71.0773 	EXP 	read_number: height = 0.07
71.0773 	EXP 	read_number: height = 0.07
71.0773 	EXP 	read_number: height = 0.07
71.0773 	EXP 	read_number: text = '541'
71.1982 	DATA 	Keypress: space
71.2111 	EXP 	read_number: height = 0.07
71.2111 	EXP 	read_number: height = 0.07
71.2111 	EXP 	read_number: height = 0.07
71.2111 	EXP 	read_number: text = '528'
71.3496 	DATA 	Keypress: space
71.3611 	EXP 	read_number: height = 0.07
71.3611 	EXP 	read_number: height = 0.07
71.3611 	EXP 	read_number: height = 0.07
71.3611 	EXP 	read_number: text = '515'
71.5314 	DATA 	Keypress: space
71.5445 	EXP 	read_number: height = 0.07
71.5445 	EXP 	read_number: height = 0.07
71.5445 	EXP 	read_number: height = 0.07
71.5445 	EXP 	read_number: text = '502'
71.6991 	DATA 	Keypress: space
71.7114 	EXP 	read_number: height = 0.07
71.7114 	EXP 	read_number: height = 0.07
71.7114 	EXP 	read_number: height = 0.07
71.7114 	EXP 	read_number: text = '489'
71.8633 	DATA 	Keypress: space
71.8948 	EXP 	read_number: height = 0.07
71.8948 	EXP 	read_number: height = 0.07
71.8948 	EXP 	read_number: height = 0.07
71.8948 	EXP 	read_number: text = '476'
72.0159 	DATA 	Keypress: space
72.0283 	EXP 	read_number: height = 0.07
72.0283 	EXP 	read_number: height = 0.07
72.0283 	EXP 	read_number: height = 0.07
72.0283 	EXP 	read_number: text = '463'
72.1821 	DATA 	Keypress: space
72.1950 	EXP 	read_number: height = 0.07
