45.5624 	EXP 	read_number: text = '736'
45.7185 	DATA 	Keypress: space
45.7221 	EXP 	read_number: height = 0.07
45.7221 	EXP 	read_number: height = 0.07
45.7221 	EXP 	read_number: height = 0.07
45.7221 	EXP 	read_number: text = '723'
45.8917 	DATA 	Keypress: space
45.8957 	EXP 	read_number: height = 0.07
45.8957 	EXP 	read_number: height = 0.07
45.8957 	EXP 	read_number: height = 0.07
45.8957 	EXP 	read_number: text = '710'
46.0584 	DATA 	Keypress: space
46.0624 	EXP 	read_number: height = 0.07
46.0624 	EXP 	read_number: height = 0.07
46.0624 	EXP 	read_number: height = 0.07
46.0624 	EXP 	read_number: text = '697'
46.2251 	DATA 	Keypress: space
46.2290 	EXP 	read_number: height = 0.07
46.2290 	EXP 	read_number: height = 0.07
46.2290 	EXP 	read_number: height = 0.07
46.2290 	EXP 	read_number: text = '684'
46.4524 	DATA 	Keypress: space
46.4533 	EXP 	read_number: height = 0.07
46.4533 	EXP 	read_number: height = 0.07
46.4533 	EXP 	read_number: height = 0.07
46.4533 	EXP 	read_number: text = '671'
46.5707 	DATA 	Keypress: space
46.5832 	EXP 	read_number: height = 0.07
46.5832 	EXP 	read_number: height = 0.07
46.5832 	EXP 	read_number: height = 0.07
46.5832 	EXP 	read_number: text = '658'
46.7391 	DATA 	Keypress: space
46.7429 	EXP 	read_number: height = 0.07
46.7429 	EXP 	read_number: height = 0.07
46.7429 	EXP 	read_number: height = 0.07
46.7429 	EXP 	read_number: text = '645'
46.9195 	DATA 	Keypress: space
46.9235 	EXP 	read_number: height = 0.07
46.9235 	EXP 	read_number: height = 0.07
46.9235 	EXP 	read_number: height = 0.07
46.9235 	EXP 	read_number: text = '632'
47.0933 	DATA 	Keypress: space
47.0971 	EXP 	read_number: height = 0.07
47.0971 	EXP 	read_number: height = 0.07
47.0971 	EXP 	read_number: height = 0.07
47.0971 	EXP 	read_number: text = '619'
47.2736 	DATA 	Keypress: space
47.2777 	EXP 	read_number: height = 0.07
47.2777 	EXP 	read_number: height = 0.07
47.2777 	EXP 	read_number: height = 0.07
47.2777 	EXP 	read_number: text = '606'
47.4612 	DATA 	Keypress: space
47.4651 	EXP 	read_number: height = 0.07
47.4651 	EXP 	read_number: height = 0.07
47.4651 	EXP 	read_number: height = 0.07
47.4651 	EXP 	read_number: text = '593'
47.6402 	DATA 	Keypress: space
47.6526 	EXP 	read_number: height = 0.07
47.6526 	EXP 	read_number: height = 0.07
47.6526 	EXP 	read_number: height = 0.07
47.6526 	EXP 	read_number: text = '580'
47.8361 	DATA 	Keypress: space
47.8401 	EXP 	read_number: height = 0.07
47.8401 	EXP 	read_number: height = 0.07
47.8401 	EXP 	read_number: height = 0.07
47.8401 	EXP 	read_number: text = '567'
48.0150 	DATA 	Keypress: space
48.0276 	EXP 	read_number: height = 0.07
48.0276 	EXP 	read_number: height = 0.07
48.0276 	EXP 	read_number: height = 0.07
48.0276 	EXP 	read_number: text = '554'
48.1977 	DATA 	Keypress: space
48.2013 	EXP 	read_number: height = 0.07
48.2013 	EXP 	read_number: height = 0.07
48.2013 	EXP 	read_number: height = 0.07
48.2013 	EXP 	read_number: text = '541'
48.3779 	DATA 	Keypress: space
48.3818 	EXP 	read_number: height = 0.07
48.3818 	EXP 	read_number: height = 0.07
48.3818 	EXP 	read_number: height = 0.07
48.3818 	EXP 	read_number: text = '528'
52.0793 	DATA 	Keypress: space
52.0834 	EXP 	read_number: height = 0.07
52.0834 	EXP 	read_number: height = 0.07
52.0834 	EXP 	read_number: height = 0.07
52.0834 	EXP 	read_number: text = '515'
52.2509 	DATA 	Keypress: space
52.2637 	EXP 	read_number: height = 0.07
52.2637 	EXP 	read_number: height = 0.07
52.2637 	EXP 	read_number: height = 0.07
52.2637 	EXP 	read_number: text = '502'
52.4264 	DATA 	Keypress: space
52.4304 	EXP 	read_number: height = 0.07
52.4304 	EXP 	read_number: height = 0.07
52.4304 	EXP 	read_number: height = 0.07
52.4304 	EXP 	read_number: text = '489'
52.5860 	DATA 	Keypress: space
52.5901 	EXP 	read_number: height = 0.07
52.5901 	EXP 	read_number: height = 0.07
52.5901 	EXP 	read_number: height = 0.07
52.5901 	EXP 	read_number: text = '476'
52.7461 	DATA 	Keypress: space
52.7499 	EXP 	read_number: height = 0.07
52.7499 	EXP 	read_number: height = 0.07
52.7499 	EXP 	read_number: height = 0.07
52.7499 	EXP 	read_number: text = '463'
52.9107 	DATA 	Keypress: space
52.9234 	EXP 	read_number: height = 0.07
52.9234 	EXP 	read_number: height = 0.07
52.9234 	EXP 	read_number: height = 0.07
52.9234 	EXP 	read_number: text = '450'
53.0861 	DATA 	Keypress: space
53.0901 	EXP 	read_number: height = 0.07
53.0901 	EXP 	read_number: height = 0.07
53.0901 	EXP 	read_number: height = 0.07
53.0901 	EXP 	read_number: text = '437'
53.2514 	DATA 	Keypress: space
53.2637 	EXP 	read_number: height = 0.07
53.2637 	EXP 	read_number: height = 0.07
53.2637 	EXP 	read_number: height = 0.07
53.2637 	EXP 	read_number: text = '424'
53.4198 	DATA 	Keypress: space
53.4234 	EXP 	read_number: height = 0.07
53.4234 	EXP 	read_number: height = 0.07
53.4234 	EXP 	read_number: height = 0.07
53.4234 	EXP 	read_number: text = '411'
53.5913 	DATA 	Keypress: space
53.6041 	EXP 	read_number: height = 0.07
53.6041 	EXP 	read_number: height = 0.07
53.6041 	EXP 	read_number: height = 0.07
53.6041 	EXP 	read_number: text = '398'
